Family,Dogi,Apostoliche,Vecchie,Evangeliche,Curti,Extinct pre-serrata,Nuove,Nuovissime
Mocenigo,8,,,,1,,,
Contarini,8,1,1,,,,,
Participazio,7,,,,,1,,
Candiano,6,,,,,1,,
Morosini,4,1,1,,,,,
Ipato,4,,,,,,,
Dandolo,4,1,1,,,,,
Tiepolo,4,1,1,,,,,
Corner,4,,1,1,,,,
Orseolo,3,,,,,1,,
Gradenigo,3,1,1,,,,,
Loredan,3,,,,1,,,
Venier,3,,,,1,,,
Grimani,3,,,,1,,,
Priuli,3,,,,1,,,
Donato,3,,,,1,,,
Michele,3,,1,1,,,,
Faliero,3,1,1,,,,,
Galbaio,2,,,,,1,,
Memmo,2,1,1,,,,,
Valier,2,,,,,,1,
Ziani,2,,1,,,,,
Barbarigo,2,,,,1,,,
Zeno,1,,1,,,,,
Cicogna,1,,,,,,,1
Tradonico,1,,,,,1,,
Barbolano,1,,,,,1,,
Molin,1,,,,,,1,
Steno,1,,,,,,1,
Tribuno,1,,,,,1,,
Pisani,1,,,,,,1,
Lando,1,,,,1,,,
Flabanico,1,,,,,1,,
Monegario,1,,,,,1,,
Ruzzini,1,,,,,,1,
Bembo,1,,1,1,,,,
Sagredo,1,,,,,,1,
Zorzi,1,,1,,,,,
Vendramin,1,,,,,,,
Soranzo,1,,1,,,,,
Leone,1,,,,,,,
Gaulo,1,,,,,,,
Cornicula,1,,,,,,,
Ponte,1,,,,,,,
Giustinian,1,,1,1,,,,
Pesaro,1,,,,,,,
Malipiero,1,,,,1,,,
Marcello,1,,,,1,,,
Trivisan,1,,,,,,,
Mastropiero,1,,,,,,,
Manin,1,,,,,,,
Celsi,1,,,,,,,
Foscarini,1,,,,,,,
Renier,1,,,,,,,
Erizzo,1,,,,,,,
Antenoreo,1,,,,,,,
Gritti,1,,,,1,,,
Tron,1,,,,1,,,
Moro,1,,,,1,,,
Foscari,1,,,,1,,,
Dolfin,1,1,1,,,,,
Fabriciaco,1,,,,,,,
Selvo,1,,,,,,,
