Family,Doges,Positions,Type
Marcello,1,Both,
Renier,1,Doge,
Borromeo,0,Dogaressa,
Antenoreo,1,Doge,
Ruzzini,1,Both,Nuove
Lando,1,Doge,
Mastropiero,1,Doge,
Cicogna,1,Doge,Nuovissime
Zeno,1,Doge,Vecchie
Orso,1,Doge,
Tribuno,1,Doge,"Extinct pre-serrata"
Contarini,8,Both,Apostoliche
Memmo,2,Doge,Apostoliche
Tron,1,Doge,
Giustinian,1,Doge,Evangeliche
Ghisi,0,Dogaressa,
Pasqualigo,0,Dogaressa,
Nani,0,Dogaressa,
Foscarini,1,Doge,
Manin,1,Doge,
Candiano,6,Both,"Extinct pre-serrata"
Gioviano,1,Doge,
Pisani,1,Both,Nuove
Delfino,0,Dogaressa,
Condulmiero,0,Dogaressa,
Soranzo,1,Both,Vecchie
diBrienne,0,Dogaressa,
Malipiero,1,Both,
Teodato,2,Doge,
Venier,3,Doge,
Badoero,0,Dogaressa,
Donato,3,Doge,
Michele,3,Both,Evangeliche
daPrata,0,Dogaressa,
Molin,1,Doge,Nuove
Trivisan,1,Doge,
Galbaio,2,Doge,"Extinct pre-serrata"
Cornicula,1,Doge,
Dandolo,4,Both,Apostoliche
Corner,4,Both,Evangeliche
Tradonico,1,Doge,"Extinct pre-serrata"
Moro,1,Doge,
Canali,0,Dogaressa,
Vendramin,1,Both,
diToscana,0,Dogaressa,
Bembo,1,Both,Evangeliche
dUngheria,0,Dogaressa,
Valier,2,Doge,Nuove
Cappello,0,Dogaressa,
Pesaro,1,Doge,
Foscari,1,Doge,
Dalmet,0,Dogaressa,
Mocenigo,8,Doge,
Celsi,1,Doge,
Diedo,0,Dogaressa,
Sanudo,0,Dogaressa,
Anna,0,Dogaressa,
Fabriciaco,1,Doge,
Gaulo,1,Doge,
Orseolo,3,Doge,"Extinct pre-serrata"
Michiel,0,Dogaressa,
Minotto,0,Dogaressa,
Storlato,0,Dogaressa,
Sagredo,1,Doge,Nuove
Participazio,7,Doge,"Extinct pre-serrata"
Priuli,3,Both,
Flabanico,1,Doge,"Extinct pre-serrata"
Morosini,4,Both,Apostoliche
Erizzo,1,Doge,
Barbolano,1,Doge,"Extinct pre-serrata"
diSicilia,0,Dogaressa,
Zorzi,1,Both,Vecchie
Ziani,2,Doge,Vecchie
Querini,0,Dogaressa,
Grimani,3,Both,
Monegario,1,Doge,"Extinct pre-serrata"
Leone,1,Doge,
Gradenico,0,Dogaressa,
Dolfin,1,Doge,Apostoliche
Maria,0,Dogaressa,
Tiepolo,4,Doge,Apostoliche
Gritti,1,Doge,
Giustiniani,0,Dogaressa,
Ponte,1,Doge,
Galina,0,Dogaressa,
Steno,1,Doge,Nuove
Selvo,1,Doge,
Faliero,3,Both,Apostoliche
Loredan,3,Both,
Barbarigo,2,Both,
Gradenigo,3,Both,Apostoliche
