"Family name",Positions
Grimani,Both
Michiel,Dogaressa
Ponte,Doge
Anna,Dogaressa
Tiepolo,Doge
Vendramin,Both
Dandolo,Both
Sanudo,Dogaressa
Pesaro,Doge
Borromeo,Dogaressa
Minotto,Dogaressa
diToscana,Dogaressa
Condulmiero,Dogaressa
Celsi,Doge
Corner,Both
Gradenigo,Both
Giustinian,Doge
Gioviano,Doge
Tribuno,Doge
Ruzzini,Both
Badoero,Dogaressa
Pasqualigo,Dogaressa
Mocenigo,Doge
Barbolano,Doge
Monegario,Doge
Memmo,Doge
Participazio,Doge
Bembo,Both
Pisani,Both
Orseolo,Doge
Galina,Dogaressa
Maria,Dogaressa
Loredan,Both
Gritti,Doge
Leone,Doge
Delfino,Dogaressa
Valier,Doge
Donato,Doge
Morosini,Both
Contarini,Both
Barbarigo,Both
Soranzo,Both
Orso,Doge
diSicilia,Dogaressa
Flabanico,Doge
Canali,Dogaressa
Ziani,Doge
dUngheria,Dogaressa
diBrienne,Dogaressa
Malipiero,Both
Cicogna,Doge
Steno,Doge
Foscari,Doge
Cornicula,Doge
Giustiniani,Dogaressa
Erizzo,Doge
Renier,Doge
Manin,Doge
Gaulo,Doge
Priuli,Both
Trivisan,Doge
Sagredo,Doge
Storlato,Dogaressa
Teodato,Doge
Faliero,Both
Cappello,Dogaressa
Lando,Doge
Foscarini,Doge
Fabriciaco,Doge
Selvo,Doge
Ghisi,Dogaressa
Michele,Both
Galbaio,Doge
Nani,Dogaressa
Gradenico,Dogaressa
Tron,Doge
Diedo,Dogaressa
Dolfin,Doge
Querini,Dogaressa
Moro,Doge
Zorzi,Both
Antenoreo,Doge
Venier,Doge
Marcello,Both
Tradonico,Doge
Zeno,Doge
daPrata,Dogaressa
Dalmet,Dogaressa
Molin,Doge
Candiano,Both
