Doge,Dogaressa,"Doge raw","Dogaressa raw",Century,Start,End,"Family doge","Family dogaressa"
Orso,,"Orso (c. 727 – c. 737)",,7,727,737,Orso,
"Domenico Leone",,"Domenico Leone (c. 737)",,7,737,737,Leone,
"Felice Cornicula",,"Felice Cornicula (c. 738)",,7,738,738,Cornicula,
Teodato,,"Teodato (c. 739)",,7,739,739,Teodato,
Gioviano,,"Gioviano (c. 740)",,7,740,740,Gioviano,
"Giovanni Fabriciaco",,"Giovanni Fabriciaco (c. 741)",,7,741,741,Fabriciaco,
Teodato,,"Teodato (c. 742-755)",,7,742,755,Teodato,
"Galla Gaulo",,"Galla Gaulo (755-756)",,7,755,756,Gaulo,
"Domenico Monegario",,"Domenico Monegario (756-764)",,7,756,764,Monegario,
"Maurizio Galbaio",,"Maurizio Galbaio (764-787)",,7,764,787,Galbaio,
"Giovanni Galbaio",,"Giovanni Galbaio (787-804)",,7,787,804,Galbaio,
"Obelerio Antenoreo",Carola,"Obelerio Antenoreo (804-809)","804-811: Carola",8,804,809,Antenoreo,
"Angelo Participazio",Elena,"Angelo Participazio (809-827)","811-827: Elena",8,809,827,Participazio,
"Giustiniano Participazio",Felicita,"Giustiniano Participazio (827-829)","827-830: Felicita",8,827,829,Participazio,
"Giovanni I Participazio",,"Giovanni I Participazio (829-837)",,8,829,837,Participazio,
"Pietro Tradonico",,"Pietro Tradonico (837-864)",,8,837,864,Tradonico,
"Orso I Participazio",,"Orso I Participazio (864-881)",,8,864,881,Participazio,
"Giovanni II Participazio",,"Giovanni II Participazio (881-887)",,8,881,887,Participazio,
"Pietro I Candiano",,"Pietro I Candiano (887)",,8,887,887,Candiano,
"Pietro Tribuno","Angela Sanudo","Pietro Tribuno (888-912)","888-912: Angela Sanudo",8,888,912,Tribuno,Sanudo
"Orso II Participazio",,"Orso II Participazio (912-932)",,9,912,932,Participazio,
"Pietro II Candiano",,"Pietro II Candiano (932-939)",,9,932,939,Candiano,
"Pietro Participazio",,"Pietro Participazio (939-942)",,9,939,942,Participazio,
"Pietro III Candiano","Arcielda Candiano","Pietro III Candiano (942-959)","942-959: Arcielda Candiano",9,942,959,Candiano,Candiano
"Pietro IV Candiano","Giovanniccia Candiano","Pietro IV Candiano (959-976)","959-966: Giovanniccia Candiano",9,959,976,Candiano,Candiano
"Pietro IV Candiano","Waldrada diToscana","Pietro IV Candiano (959-976)","966-976: Waldrada diToscana",9,959,976,Candiano,diToscana
"Pietro I Orseolo","Felicia Malipiero","Pietro I Orseolo (976-978)","976-978: Felicia Malipiero",9,976,978,Orseolo,Malipiero
"Vitale Candiano",,"Vitale Candiano (978-979)",,9,978,979,Candiano,
"Tribuno Memmo","Marina Candiano","Tribuno Memmo (979-991)","979-991: Marina Candiano",9,979,991,Memmo,Candiano
"Pietro II Orseolo","Maria Candiano","Pietro II Orseolo (991-1009)","991-1009: Maria Candiano",9,991,1009,Orseolo,Candiano
"Ottone Orseolo","Grimelda dUngheria","Ottone Orseolo (1009-1026)","1009-1026: Grimelda dUngheria",10,1009,1026,Orseolo,dUngheria
"Pietro Barbolano",,"Pietro Barbolano (1026-1032)",,10,1026,1032,Barbolano,
"Domenico Flabanico",,"Domenico Flabanico (1032-1041)",,10,1032,1041,Flabanico,
"Domenico I Contarini",,"Domenico I Contarini (1041-1071)",,10,1041,1071,Contarini,
"Domenico Selvo","Theodora Anna Doukaina Selvo","Domenico Selvo (1071-1084)","1075-1083: Theodora Anna Doukaina Selvo",10,1071,1084,Selvo,Anna
"Vital Faliero","Cornella Bembo","Vital Faliero (1084-1096)","1084-1096: Cornella Bembo",10,1084,1096,Faliero,Bembo
"Vital I Michele","Felicia Cornaro (o Corner)","Vital I Michele (1096-1102)","1096-1102: Felicia Cornaro (o Corner)",10,1096,1102,Michiel,Corner
"Ordelafo Faliero","Matelda Faliero (o Falier)","Ordelafo Faliero (1102-1117)","1102-1116: Matelda Faliero (o Falier)",11,1102,1117,Faliero,Faliero
"Domenico Michele","Alicia Michele (o Michiel)","Domenico Michele (1117-1130)","1116-1130: Alicia Michele (o Michiel)",11,1117,1130,Michiel,Michiel
"Domenico Morosini",,"Domenico Morosini (1148-1156)",,11,1148,1156,Morosini,
"Vital II Michele","Felicita Maria diBoemodo","Vital II Michele (1156-1172)","1156-1172: Felicita Maria diBoemodo",11,1156,1172,Michiel,Maria
"Sebastian Ziani",Cecilia,"Sebastian Ziani (1172-1178)","1172-1178: Cecilia",11,1172,1178,Ziani,
"Orio Mastropiero",,"Orio Mastropiero (1178-1192)",,11,1178,1192,Malipiero,
"Enrico Dandolo","Felicita Bembo","Enrico Dandolo (1192-1205)","1192-1205: Felicita Bembo",11,1192,1205,Dandolo,Bembo
"Enrico Dandolo","Contessa Minotto","Enrico Dandolo (1192-1205)","1192-1205: Contessa Minotto",11,1192,1205,Dandolo,Minotto
"Pietro Ziani","Costanza diSicilia","Pietro Ziani (1205-1229)","1205-1229: Costanza diSicilia",12,1205,1229,Ziani,diSicilia
"Jacopo Tiepolo","Maria Storlato","Jacopo Tiepolo (1229-1249)","1229-1240: Maria Storlato",12,1229,1249,Tiepolo,Storlato
"Jacopo Tiepolo","Valdrada diSicilia","Jacopo Tiepolo (1229-1249)","1242-1249: Valdrada diSicilia",12,1229,1249,Tiepolo,diSicilia
"Marino Morosini",,"Marino Morosini (1249-1252)",,12,1249,1252,Morosini,
"Reniero Zeno","Loicia daPrata","Reniero Zeno (1252-1268)","1252-1268: Loicia daPrata",12,1252,1268,Zeno,daPrata
"Lorenzo Tiepolo","Agnese Ghisi","Lorenzo Tiepolo (1268-1275)","1268-1275: Agnese Ghisi",12,1268,1275,Tiepolo,Ghisi
"Lorenzo Tiepolo","Marchesina diBrienne","Lorenzo Tiepolo (1268-1275)","1272-1275: Marchesina diBrienne",12,1268,1275,Tiepolo,diBrienne
"Jacopo Contarini",Jacobina,"Jacopo Contarini (1275-1280)","1275-1280: Jacobina",12,1275,1280,Contarini,
"Giovanni Dandolo",Caterina,"Giovanni Dandolo (1280-1289)","1280-1289: Caterina",12,1280,1289,Dandolo,
"Pietro Gradenigo","Tommasina Morosini","Pietro Gradenigo (1289-1311)","1289-1310: Tommasina Morosini",12,1289,1311,Gradenigo,Morosini
"Marino Zorzi",Agnese,"Marino Zorzi (1311-1312)","1310-1312: Agnese",13,1311,1312,Zorzi,
"Giovanni Soranzo",Franchesina,"Giovanni Soranzo (1312-1328)","1312-1329: Franchesina",13,1312,1328,Soranzo,
"Francesco Dandolo","Elisabetta Contarini","Francesco Dandolo (1328-1339)","1329-1339: Elisabetta Contarini",13,1328,1339,Dandolo,Contarini
